Entity,Code,Year,Total alcohol consumption per capita,"GDP per capita, PPP",Population
Afghanistan,AFG,2018.0,0.21,2033.80438893717,37171922.0
Africa Eastern and Southern,,2018.0,5.17091073003006,3579.27191657852,
Africa Western and Central,,2018.0,6.83526606216979,4115.2358007738,
Albania,ALB,2018.0,7.17,13323.7533559132,2882735.0
Algeria,DZA,2018.0,0.95,11642.1983450506,42228415.0
Angola,AGO,2018.0,6.94,6933.49993413352,30809787.0
Antigua and Barbuda,ATG,2018.0,6.38,21030.3950717884,96282.0
Arab World,,2018.0,0.618598081987902,14608.9742464222,
Argentina,ARG,2018.0,9.65,22759.3985583341,44361150.0
Armenia,ARM,2018.0,5.55,12715.1089539751,2951741.0
Australia,AUS,2018.0,10.51,49151.6887104846,24898153.0
Austria,AUT,2018.0,11.96,55297.6182880367,8891383.0
Azerbaijan,AZE,2018.0,4.41,14209.6494059309,9949537.0
Bahamas,BHS,2018.0,4.78,37019.9950489508,385635.0
Bahrain,BHR,2018.0,1.09,46200.445580954,1569440.0
Bangladesh,BGD,2018.0,0.019,4440.85547046826,161376713.0
Barbados,BRB,2018.0,9.69,15674.9043195592,286640.0
Belarus,BLR,2018.0,11.45,18885.2354999668,9452615.0
Belgium,BEL,2018.0,11.08,51110.9584679336,11482180.0
Belize,BLZ,2018.0,6.22,7261.87028738671,383071.0
Benin,BEN,2018.0,2.81,3160.7806702321,11485035.0
Bhutan,BTN,2018.0,0.43,11348.4419521,754396.0
Bolivia,BOL,2018.0,4.43,8655.53149780443,11353140.0
Bosnia and Herzegovina,BIH,2018.0,7.15,14386.7318547663,3323929.0
Botswana,BWA,2018.0,6.59,17634.6561910867,2254067.0
Brazil,BRA,2018.0,7.42,14668.2561636292,209469320.0
Brunei,BRN,2018.0,0.48,60389.1846472589,428960.0
Bulgaria,BGR,2018.0,12.65,22208.4522754771,7051610.0
Burkina Faso,BFA,2018.0,12.03,2120.33026783506,19751466.0
Burundi,BDI,2018.0,7.19,761.524125241416,11175379.0
Cambodia,KHM,2018.0,6.64,4159.33819437034,16249795.0
Cameroon,CMR,2018.0,5.65,3603.54827506808,25216261.0
Canada,CAN,2018.0,8.94,48796.8137814007,37074558.0
Cape Verde,CPV,2018.0,5.6,6864.1852980816,543764.0
Caribbean Small States,,2018.0,5.79451265738271,15967.5733213725,
Central African Republic,CAF,2018.0,2.38,933.10995060419,4666375.0
Central Europe and the Baltics,,2018.0,11.9320795816418,31289.68061987,
Chad,TCD,2018.0,1.37,1576.32111465904,15477727.0
Chile,CHL,2018.0,9.07,25028.9099914542,18729166.0
China,CHN,2018.0,7.05,15242.9858575834,1427647789.0
Colombia,COL,2018.0,5.74,14314.8555765268,49661056.0
Comoros,COM,2018.0,0.69,3066.83784677933,832322.0
Congo,COG,2018.0,9.27,3933.425550952,5244363.0
Costa Rica,CRI,2018.0,4.87,20559.8604252658,4999443.0
Cote d'Ivoire,CIV,2018.0,2.71,5033.47882607719,25069226.0
Croatia,HRV,2018.0,9.23,27799.8433225132,4156407.0
Cyprus,CYP,2018.0,10.81,39559.4879646749,1189262.0
Czechia,CZE,2018.0,14.45,39932.992193117,10665679.0
Democratic Republic of Congo,COD,2018.0,2.0,1085.89368770943,84068092.0
Denmark,DNK,2018.0,10.26,56281.2888680368,5752131.0
Djibouti,DJI,2018.0,0.43,5214.07218666426,958923.0
Dominica,DMA,2018.0,11.18,11537.0190725758,71626.0
Dominican Republic,DOM,2018.0,6.68,17711.7955337583,10627147.0
Early-demographic dividend,,2018.0,3.89243616335572,9412.41073598527,
East Asia & Pacific,,2018.0,6.43073018939207,17056.6266498803,
East Asia & Pacific (IDA & IBRD),,2018.0,6.22437469270483,13870.4805770203,
East Asia & Pacific (excluding high income),,2018.0,6.1945057245146,13726.161241617,
Ecuador,ECU,2018.0,4.2,11561.747853143,17084359.0
Egypt,EGY,2018.0,0.36,11366.3355206681,98423602.0
El Salvador,SLV,2018.0,3.89,8614.01795915499,6420740.0
Equatorial Guinea,GNQ,2018.0,7.23,20386.0138677131,1308966.0
Estonia,EST,2018.0,9.23,35208.0239637019,1322913.0
Eswatini,SWZ,2018.0,10.04,8520.59238619335,1136274.0
Ethiopia,ETH,2018.0,2.36,2103.51585836696,109224410.0
Euro area,,2018.0,11.4025125308001,46349.2151719793,
Europe & Central Asia,,2018.0,9.764031940807,34684.5027912792,
Europe & Central Asia (IDA & IBRD),,2018.0,8.05319789127819,22555.6672495318,
Europe & Central Asia (excluding high income),,2018.0,7.6807296123609,21673.7268117006,
European Union,,2018.0,11.4447155072379,43555.4867098389,
Fiji,FJI,2018.0,3.32,13846.1588353285,883490.0
Finland,FIN,2018.0,10.78,48130.2923921114,5522585.0
France,FRA,2018.0,12.33,45251.9054105957,64990512.0
Gabon,GAB,2018.0,8.74,14744.4343267491,2119275.0
Gambia,GMB,2018.0,3.55,2158.07755816639,2280092.0
Georgia,GEO,2018.0,8.25,14253.4089858441,4002946.0
Germany,DEU,2018.0,12.91,53463.4014817389,83124413.0
Ghana,GHA,2018.0,2.75,5177.88398862782,29767108.0
Greece,GRC,2018.0,10.18,29150.6944922443,10522244.0
Grenada,GRD,2018.0,9.48,16801.9552384337,111449.0
Guatemala,GTM,2018.0,2.45,8462.17210684372,17247855.0
Guinea,GIN,2018.0,1.11,2499.70726640711,12414292.0
Guinea-Bissau,GNB,2018.0,5.38,1901.93173857674,1874304.0
Guyana,GUY,2018.0,6.89,12477.5767111562,779007.0
Haiti,HTI,2018.0,2.73,2992.31041114318,11123183.0
Heavily indebted poor countries (HIPC),,2018.0,4.06575985649285,2536.70484432927,
High income,,2018.0,9.77965599485549,49680.4358455199,
Honduras,HND,2018.0,3.76,5680.36288396582,9587523.0
Hungary,HUN,2018.0,11.35,31095.557503677,9707502.0
IBRD only,,2018.0,5.97662907027077,13105.4075664796,
IDA & IBRD total,,2018.0,5.48742148438097,10724.1301303154,
IDA blend,,2018.0,4.62675911394371,4874.5853207636,
IDA only,,2018.0,3.20136280440965,3312.05029587241,
IDA total,,2018.0,3.68391489641929,3831.85086067766,
Iceland,ISL,2018.0,9.12,56722.1193741156,336712.0
India,IND,2018.0,5.54,6518.84505546914,1352642283.0
Indonesia,IDN,2018.0,0.57,11371.7255560847,267670549.0
Iran,IRN,2018.0,1.03,13471.8606376875,81800204.0
Iraq,IRQ,2018.0,0.39,10346.2129581855,38433604.0
Ireland,IRL,2018.0,12.88,84303.3408922937,4818694.0
Israel,ISR,2018.0,4.21,39418.3453068224,8381507.0
Italy,ITA,2018.0,7.84,42052.5563822519,60627291.0
Jamaica,JAM,2018.0,4.22,9734.86228780542,2934853.0
Japan,JPN,2018.0,7.96,41182.3802046593,127202190.0
Jordan,JOR,2018.0,0.69,10013.3976633388,9965322.0
Kazakhstan,KAZ,2018.0,4.76,25544.3447563035,18319616.0
Kenya,KEN,2018.0,2.78,4203.83827267811,51392570.0
Kiribati,KIR,2018.0,0.46,2254.05923175595,115842.0
Kuwait,KWT,2018.0,0.003,50478.5875050676,4137314.0
Kyrgyzstan,KGZ,2018.0,6.26,5133.1519146081,6304025.0
Laos,LAO,2018.0,10.72,7592.82947474583,7061498.0
Late-demographic dividend,,2018.0,7.24966960968424,16763.1761094736,
Latin America & Caribbean,,2018.0,6.33160551872181,16418.7763893775,
Latin America & Caribbean (IDA & IBRD),,2018.0,6.34103701883309,16367.1630627475,
Latin America & Caribbean (excluding high income),,2018.0,6.33674686032047,15494.5222898786,
Latvia,LVA,2018.0,12.77,30036.0865499334,1928461.0
Least developed countries: UN classification,,2018.0,3.33836610996658,3003.33878874477,
Lebanon,LBN,2018.0,1.71,15588.1528714896,6859408.0
Lesotho,LSO,2018.0,4.59,2614.65884916972,2108327.0
Liberia,LBR,2018.0,6.12,1497.00478720289,4818976.0
Libya,LBY,2018.0,0.019,15017.9935741811,6678565.0
Lithuania,LTU,2018.0,13.22,35427.4618636641,2801270.0
Low & middle income,,2018.0,5.42711870027833,10379.598878097,
Lower middle income,,2018.0,4.43451737036976,6954.21770020879,
Luxembourg,LUX,2018.0,12.94,113589.670473448,604244.0
Madagascar,MDG,2018.0,1.97,1592.05355843859,26262313.0
Malawi,MWI,2018.0,3.63,1471.03724879602,18143215.0
Malaysia,MYS,2018.0,0.85,27558.1369502408,31528033.0
Maldives,MDV,2018.0,2.22,18795.5303498427,515703.0
Mali,MLI,2018.0,1.28,2283.70241285673,19077755.0
Malta,MLT,2018.0,7.99,43313.4770253615,439255.0
Mauritania,MRT,2018.0,0.036,5042.43119844404,4403312.0
Mauritius,MUS,2018.0,4.35,22208.1381171868,1267184.0
Mexico,MEX,2018.0,5.0,19928.3956618582,126190782.0
Micronesia (country),FSM,2018.0,2.48,3460.90904773797,112640.0
Middle East & North Africa,,2018.0,0.812701073428056,16431.8556442289,
Middle East & North Africa (IDA & IBRD),,2018.0,0.68297312245213,10807.5034626022,
Middle East & North Africa (excluding high income),,2018.0,0.68297312245213,10754.1750931682,
Middle income,,2018.0,5.61546594922062,11274.6108552369,
Moldova,MDA,2018.0,11.43,12363.1468378401,4051950.0
Mongolia,MNG,2018.0,8.19,11915.5567471637,3170214.0
Montenegro,MNE,2018.0,11.47,20686.5759142606,627803.0
Morocco,MAR,2018.0,0.69,7446.93622037578,36029089.0
Mozambique,MOZ,2018.0,2.3,1289.73594800556,29496009.0
Myanmar,MMR,2018.0,5.12,5029.1880858737,53708318.0
Namibia,NAM,2018.0,5.43,10092.258820242,2448300.0
Nauru,NRU,2018.0,3.71,13636.3609415279,10678.0
Nepal,NPL,2018.0,2.05,3773.71591761441,28095712.0
Netherlands,NLD,2018.0,9.61,56060.9136269404,17059560.0
New Zealand,NZL,2018.0,10.63,42866.1272276586,4743131.0
Nicaragua,NIC,2018.0,5.18,5729.68822390273,6465502.0
Niger,NER,2018.0,0.67,1200.97246385835,22442831.0
Nigeria,NGA,2018.0,10.84,5155.07599367409,195874685.0
North America,,2018.0,9.77231490754098,60286.8577446144,582921781.0
North Macedonia,MKD,2018.0,6.16,16093.3104230501,2082956.0
Norway,NOR,2018.0,7.41,64341.2589026158,5337960.0
OECD members,,2018.0,9.19206212222036,44062.462232416,
Oman,OMN,2018.0,0.78,28350.9435298546,4829476.0
Other small states,,2018.0,5.11511199155353,22687.3141477117,
Pacific island small states,,2018.0,2.47171919392742,7410.70219997651,
Pakistan,PAK,2018.0,0.34,4739.47271266276,212228288.0
Panama,PAN,2018.0,7.98,31012.9461549459,4176868.0
Papua New Guinea,PNG,2018.0,1.39,4190.0948949613,8606324.0
Paraguay,PRY,2018.0,7.58,12827.7080209236,6956069.0
Peru,PER,2018.0,6.38,12781.4164435302,31989265.0
Philippines,PHL,2018.0,6.86,8516.13654897274,106651394.0
Poland,POL,2018.0,11.71,31674.1316243417,37921585.0
Portugal,PRT,2018.0,12.03,34040.7255617749,10256192.0
Post-demographic dividend,,2018.0,10.0970317678351,48359.2057459698,
Pre-demographic dividend,,2018.0,5.5676125893014,3529.13717908586,
Qatar,QAT,2018.0,1.59,90970.0609016321,2781682.0
Romania,ROU,2018.0,11.74,28523.4731832065,19506110.0
Russia,RUS,2018.0,11.19,26656.4095416865,145734034.0
Rwanda,RWA,2018.0,8.95,2088.74922433298,12301969.0
Saint Kitts and Nevis,KNA,2018.0,8.94,25901.6333033394,52438.0
Saint Lucia,LCA,2018.0,10.6,15261.3643508088,181890.0
Saint Vincent and the Grenadines,VCT,2018.0,9.06,12466.4161360546,110210.0
Samoa,WSM,2018.0,2.66,6322.2089973185,196128.0
Sao Tome and Principe,STP,2018.0,5.88,3993.27879583907,211032.0
Saudi Arabia,SAU,2018.0,0.19,47592.7671473292,33702757.0
Senegal,SEN,2018.0,0.76,3309.48617330672,15854324.0
Serbia,SRB,2018.0,8.75,17452.7958990327,8802741.0
Seychelles,SYC,2018.0,20.5,27342.1616519905,97094.0
Sierra Leone,SLE,2018.0,5.7,1663.29348036377,7650149.0
Singapore,SGP,2018.0,2.03,98222.846041782,5757503.0
Slovakia,SVK,2018.0,11.14,31132.5729674338,5453017.0
Slovenia,SVN,2018.0,11.9,37968.3520620285,2077835.0
Small states,,2018.0,5.10470375858163,20544.1769652936,
Solomon Islands,SLB,2018.0,1.83,2697.64643055486,652856.0
Somalia,SOM,2018.0,0.009,866.765302072035,15008225.0
South Africa,ZAF,2018.0,9.52,12627.9285840445,57792520.0
South Asia,,2018.0,4.33329438122674,6072.74864524007,
South Asia (IDA & IBRD),,2018.0,4.33329438122674,6072.74864524007,
South Korea,KOR,2018.0,9.7,41948.3460057222,51171700.0
Spain,ESP,2018.0,12.72,40312.5475864011,46692863.0
Sri Lanka,LKA,2018.0,4.1,12860.3208303539,21228760.0
Sub-Saharan Africa,,2018.0,5.83751043204873,3800.6145328349,
Sub-Saharan Africa (IDA & IBRD),,2018.0,5.83751043204873,3800.6145328349,
Sub-Saharan Africa (excluding high income),,2018.0,5.83574345736585,3798.51004883848,
Sudan,SDN,2018.0,0.51,4344.52988671066,41801532.0
Suriname,SUR,2018.0,5.33,19005.6543464151,575987.0
Sweden,SWE,2018.0,8.93,52349.2924275599,9971630.0
Switzerland,CHE,2018.0,11.53,70663.4875973954,8525614.0
Tajikistan,TJK,2018.0,3.28,3415.32233593608,9100847.0
Tanzania,TZA,2018.0,11.27,2590.20113826159,56313444.0
Thailand,THA,2018.0,8.3,18095.7365704368,69428454.0
Timor,TLS,2018.0,2.17,3051.66811727864,1267975.0
Togo,TGO,2018.0,2.46,2061.33417572853,7889095.0
Tonga,TON,2018.0,0.8,6411.28936778647,103199.0
Trinidad and Tobago,TTO,2018.0,6.72,26250.3722429394,1389841.0
Tunisia,TUN,2018.0,2.12,10763.7297838206,11565203.0
Turkey,TUR,2018.0,2.05,28312.6834243604,82340090.0
Turkmenistan,TKM,2018.0,4.93,14845.3446497287,5850902.0
Tuvalu,TUV,2018.0,1.52,3945.56367272662,11505.0
Uganda,UGA,2018.0,15.09,2121.96781993514,42729032.0
Ukraine,UKR,2018.0,8.32,12338.0024454764,44246158.0
United Arab Emirates,ARE,2018.0,3.9,66968.2211775042,9630966.0
United Kingdom,GBR,2018.0,11.45,46037.9005384222,67141678.0
United States,USA,2018.0,9.87,61585.7560382102,327096263.0
Upper middle income,,2018.0,6.96359180352477,16893.6855494372,
Uruguay,URY,2018.0,6.92,23035.0833880454,3449290.0
Uzbekistan,UZB,2018.0,2.59,6755.48097366685,32476232.0
Vanuatu,VUT,2018.0,2.25,3093.46154723291,292675.0
Vietnam,VNM,2018.0,8.66,7585.94315504036,95545959.0
World,OWID_WRL,2018.0,6.18140363000971,16636.8480109565,7631091110.0
Zambia,ZMB,2018.0,6.54,3521.5420629895,17351714.0
Zimbabwe,ZWE,2018.0,4.67,3341.66541766316,14438812.0
